id	text
177	Bert
178	Loryn
179	Ernie
182	Mayor Crystalline
185	Therin
186	Valinda
201	Bruce
204	Umari, the yeti chief, took over Hot Springs Haven! Residents can no longer enjoy their favorite place of leisure! Head in and defeat Umari!
386	The coolest ride in Snowhill!
396	Use your robgoblin disguise to sneak into the robgoblin camp near the Snowhill Warpstone.
404	Snowhill Lodge
409	Snowhill Lodge Furniture Bundle
410	Get the Snowhill Lodge Furniture Bundle now for only 599 SC.
700	You heard right, rockers. Bruce is back and playing a show near you!<br><br>Check out your Quick Items for Bruce's Offstage Passes!
701	Bruce's Offstage Pass
702	Use your Offstage Pass to see Bruce play a show near you!
778	Look for Mayor Crystalline in Snowhill.
779	Look for Jonathon Forkpath in Snowhill.
780	Look for Scarlet Shadeveil in Snowhill.
781	Look for Senari in Snowhill.
782	Look for Baron von Darkcheat in Snowhill.
830	The Snowhill Lodge is here! This two-story mountaintop house has tons of buildable space and customizable areas, chimneys large enough to drop down, and a scenic view down the mountain from the backyard balcony.<br><br>There's also an accompanying set of Snowhill Lodge furniture, including a singing Moose Head! You can find both the Snowhill Lodge and Furniture in the SC Marketplace.<br><br>And lastly, there are over FIFTY new wall and floor customizations available in both the SC Marketplace and Coin Shop!
1078	Snowhill Coin
1083	Deliver to Kiel
1085	Deliver to Julie
1086	Deliver to Carrie
1091	Deliver to Grog
1382	Dried Up Snowhill Leaf
1383	Wet Snowhill Leaf
1384	Torn Snowhill Leaf
1385	Freshly Fallen Snowhill Leaf
1386	Bug Bitten Snowhill Leaf
1387	Frozen Snowhill Leaf
1388	Snowy Snowhill Leaf
1389	Icy Snowhill Leaf
1470	Snowhill Stamp
1486	Snowhill Postcard
1654	‘Tis the season for gifts, giving, and snow! Meet Candi Ivy in Snowhill to learn all about the Gifting Tree and the presents it drops every day. But watch out for the Abominable Snowman and his Snowman army! They’re also after the Gifting Tree’s presents! Are you brave enough to stop them?
1980	Return to Mayor Crystalline
1986	Mayor Crystalline in Snowhill wants you to play a few games of cards.
2006	Bert the mailman cocks his head to one side as you approach.  Flapping his ar... err.. wings emphatically, you get the idea that he needs your help with sometime.
2019	Deliver to Bert
2021	Deliver to Smitty
2022	Deliver to Brittany
2023	Deliver to Loryn
2024	Deliver to Big J
2025	Deliver to Mr. Twinkle
2085	Retrieve Farmer Cinn's turnips from the yetis!
2159	The third set for the Free Realms Trading Card Game introduces a new card player in Snowhill who is willing to do whatever it takes to get the Gloamstone!  Each pack contains randomly inserted Free Realms Trading Card Game cards plus one loot card.
2160	The third set for the Free Realms Trading Card Game introduces a new card player in Snowhill who is willing to do whatever it takes to get the Gloamstone!  This 40-card starter deck features cards from all three Free Realms sets and is based on the Chaos sphere.
2161	The third set for the Free Realms Trading Card Game introduces a new card player in Snowhill who is willing to do whatever it takes to get the Gloamstone!  This 40-card starter deck features cards from all three Free Realms sets and is based on the Machine sphere.  
2162	The third set for the Free Realms Trading Card Game introduces a new card player in Snowhill who is willing to do whatever it takes to get the Gloamstone!  This 40-card starter deck features cards from all three Free Realms sets and is based on the Nature sphere.  
