name,name_id,model_id,model_file,x,y,z,heading,area,n,wiki,quest_giver,merchant,dialogue,role,url
Candi Ivy,419832,45,human_f_santa.adr,230.2,24.4,401.0,-128.97,Snowhill_Bed_1,1,yes,yes,,,"Snow Days event quest giver (10 quests, by the Gifting Tree)",https://freerealms.fandom.com/wiki/Candi%20Ivy
Frostpetal,5448,36,fairy_f_valinda.adr,72.9,20.6,331.2,-131.26,SnowHill_Entrance_Bed_2,1,yes,yes,,,"Quest giver: Meet the Mayor!, Ninja: Return to the Mentor (right of town entrance)",https://freerealms.fandom.com/wiki/Frostpetal
Lucca De'Flor,23788,32,fairy_m_farmer_01.adr,200.2,23.0,352.1,-15.27,Halloween_Snowhill,1,yes,yes,,,Chef trainer (5 quests; cooking table at 2 Icecrest Ct),https://freerealms.fandom.com/wiki/Lucca%20De%27Flor
Mayor Crystalline,182,34,fairy_f_lorina.adr,299.4,27.4,409.0,-67.47,SnowHill_Clock,1,yes,yes,,,Mayor; Brawler / Medic / Card Duelist quest hub (front of Town Hall),https://freerealms.fandom.com/wiki/Mayor%20Crystalline
Momma Meepster,5102405,4552,penguin_baby_8bit_01.adr,127.7,22.6,423.2,-136.08,Snowhill_Bed_1,1,yes,yes,,Misplaced Meeps transcript,8-Bit Month event: Misplaced Meeps (near Big J's),https://freerealms.fandom.com/wiki/Momma%20Meepster
Ree Peatpants,388454,428,fairy_m_sakka.agr,-54.1,5.2,332.0,76.24,TheWild_CowFarm,1,yes,yes,,,Ninja contract giver (4 repeatable contracts; south of town),https://freerealms.fandom.com/wiki/Ree%20Peatpants
Tevin,79022,657,fairy_m_freestyle_08.agr,303.5,27.2,410.3,-61.35,SnowHill_Clock,1,yes,yes,,,Brawler trainer: Way of the Brawler,https://freerealms.fandom.com/wiki/Tevin
Tiger the Party Animal,420171,1963,human_m_tiger_the_party_animal_holiday.agr,309.2,27.3,465.0,13.59,SnowHill_Stage,1,yes,yes,yes,A Luau / Party for Pets / Winter Party transcripts,Event party host / merchant (on the stage),https://freerealms.fandom.com/wiki/Tiger%20the%20Party%20Animal
Arci Joan,391188,43,fairy_f_03.adr,293.9,25.4,355.4,-1.24,SnowHill_Bed_14,1,yes,,,,NPC beside Easy Penguin Defense minigame,https://freerealms.fandom.com/wiki/Arci%20Joan
Assistant Chef Edward,90184,49,fairy_m_02.adr,193.7,22.7,364.0,29.11,Halloween_Snowhill,1,yes,,,,Merchant (Chef supplies),https://freerealms.fandom.com/wiki/Assistant%20Chief%20Edward
Bert,177,21,penguin_bert.adr,210.7,28.7,434.6,-133.34,Snowhill_Bed_1,3,yes,,,,Penguin postman,https://freerealms.fandom.com/wiki/Bert
Big J,6375,49,fairy_m_02.adr,146.6,23.5,386.1,177.25,Snowhill_Bed_1,1,yes,,,,Owner of Big J's cafe,https://freerealms.fandom.com/wiki/Big%20J
Captain Ironsides,427724,2119,human_m_pirate_01.agr,124.6,23.8,352.9,146.47,Snowhill_Bed_1,1,yes,,,,Pirate NPC (TCG character),https://freerealms.fandom.com/wiki/Captain%20Ironsides
Chip Numbwing,408638,1585,fairy_m_chip_numbwing.agr,130.8,25.1,392.6,176.29,Snowhill_Bed_1,1,yes,,yes,,Merchant (Fisherman),https://freerealms.fandom.com/wiki/Chip%20Numbwing
Clara Chatterhag,36808,42,fairy_f_02.adr,274.1,26.4,458.6,-130.82,SnowHill_Stage,1,yes,,,Noisy Neighbors transcript,Starts Noisy Neighbors,https://freerealms.fandom.com/wiki/Clara%20Chatterhag
Cragara,440941,4103,sogg_f_vendor.adr,130.9,28.7,290.9,-5.56,Halloween_Snowhill,1,yes,,yes,wiki quotes (shop open / closed),Mysterious Merchant (roaming),https://freerealms.fandom.com/wiki/Cragara
Dempsy,5102200,4500,human_m_merchant_brawler_african.agr,237.1,26.2,436.1,79.57,Snowhill_Bed_1,1,yes,,yes,,"Merchant (Brawler gear, by Post Office)",https://freerealms.fandom.com/wiki/Dempsy
Ernie,179,31,penguin_ernie.adr,226.0,26.8,431.3,44.85,Snowhill_Bed_1,2,yes,,,,Penguin postman,https://freerealms.fandom.com/wiki/Ernie
Fladnag,5102517,4587,fairy_m_merchant_wizard_caucasian_volcano.agr,230.9,25.2,430.0,-176.17,Snowhill_Bed_1,1,yes,,yes,,"Merchant (Wizard gear, by Post Office)",https://freerealms.fandom.com/wiki/Fladnag
Fritti Bluebelle,90186,573,fairy_f_freestyle_11.agr,286.8,27.5,406.3,-60.69,SnowHill_Clock,1,yes,,,wiki quote,,https://freerealms.fandom.com/wiki/Fritti%20Bluebelle
Jonathon Forkpath,92578,30,fairy_m_old_01.adr,224.4,23.6,405.2,7.77,Snowhill_Bed_1,2,yes,,,,"Quest giver (Defenders Medal; wiki spells ""Johnathon"")",https://freerealms.fandom.com/wiki/Johnathon%20Forkpath
Kiel,6156,12,fairychild_m_pointyhair.adr,139.7,23.6,393.9,-98.49,Snowhill_Bed_1,1,yes,,,,Idle NPC,https://freerealms.fandom.com/wiki/Kiel
Mr. Twinkle,3070,48,fairy_m_01.adr,151.6,23.4,386.3,177.85,Snowhill_Bed_1,1,yes,,,,Idle NPC outside Big J's,https://freerealms.fandom.com/wiki/Mr.%20Twinkle
Reba,5102420,4549,human_f_merchant_postman_caucasian.agr,215.3,28.2,441.7,-157.08,Snowhill_Bed_1,1,yes,,yes,,"Merchant (Postman gear, by Post Office)",https://freerealms.fandom.com/wiki/Reba
